date,open,high,low,close,volume
2014-05-30,560.8,561.35,555.91,559.89,1766300.0
2014-06-02,560.7,560.9,545.73,553.93,1431100.0
2014-06-03,550.99,552.34,542.55,544.94,1861500.0
2014-06-04,541.5,548.61,538.75,544.66,1811500.0
2014-06-05,546.4,554.95,544.45,553.9,1684500.0
2014-06-06,558.06,558.06,548.93,556.33,1732000.0
2014-06-09,557.15,562.9,556.04,562.12,1463500.0
2014-06-10,560.51,563.6,557.9,560.55,1348000.0
2014-06-11,558.0,559.88,555.0201,558.84,1097100.0
2014-06-12,557.3,557.99,548.46,551.35,1454500.0
2014-06-13,552.26,552.3,545.56,551.76,1217200.0
2014-06-16,549.26,549.62,541.52,544.28,1697900.0
2014-06-17,544.2,545.32,539.33,543.01,1440600.0
2014-06-18,544.86,553.56,544.0,553.37,1737000.0
2014-06-19,554.24,555.0,548.51,554.9,2450100.0
2014-06-20,556.85,557.58,550.3915,556.36,4496000.0
2014-06-23,555.15,565.0,554.25,564.95,1532600.0
2014-06-24,565.19,572.646,561.01,564.62,2201100.0
2014-06-25,565.26,579.96,565.22,578.65,1964000.0
2014-06-26,581.0,582.45,571.85,576.0,1737200.0
2014-06-27,577.18,579.87,573.8,577.24,2230800.0
