date,open,high,low,close,volume
2013-02-28,14.15,14.69,14.03,14.19,7521500.0
2013-03-01,14.09,14.54,14.04,14.33,3113600.0
2013-03-04,14.26,14.48,14.14,14.41,2853200.0
2013-03-05,14.51,14.79,14.49,14.73,2587800.0
2013-03-06,14.76,15.24,14.67,15.14,3821900.0
2013-03-07,15.18,15.94,15.03,15.83,4868900.0
2013-03-08,15.9,16.36,15.79,16.25,5683000.0
2013-03-11,16.23,16.4,16.02,16.27,3009000.0
2013-03-12,16.29,16.35,15.9,16.12,2617100.0
2013-03-13,16.13,16.2,15.94,16.0,2739100.0
2013-03-14,16.05,16.94,16.01,16.79,5510400.0
2013-03-15,16.76,16.97,16.69,16.85,6955800.0
2013-03-18,16.65,16.99,16.59,16.64,1987700.0
2013-03-19,16.71,16.79,16.43,16.51,2664200.0
2013-03-20,16.61,16.64,16.38,16.46,4311900.0
2013-03-21,16.39,16.5,15.9,15.95,4399200.0
2013-03-22,16.1,16.36,16.0,16.2,3213900.0
2013-03-25,16.3,16.41,16.03,16.13,2130600.0
2013-03-26,16.2,16.41,16.1,16.39,1872200.0
2013-03-27,16.3,16.37,16.1,16.24,1368200.0
