date,open,high,low,close,volume
2013-02-28,86.24,87.75,86.0,86.74,1324800.0
2013-03-01,86.74,87.07,86.09,86.77,1506800.0
2013-03-04,86.69,89.93,86.11,89.9,2328500.0
2013-03-05,90.17,91.9,90.03,91.01,2383600.0
2013-03-06,91.21,93.5,91.0,93.181,2446200.0
2013-03-07,92.7,93.17,91.46,92.24,1289400.0
2013-03-08,92.69,92.99,90.76,91.06,1466200.0
2013-03-11,90.8,92.35,90.46,91.67,1151100.0
2013-03-12,91.58,92.01,90.69,91.75,998100.0
2013-03-13,91.71,92.16,91.0,91.51,1061000.0
2013-03-14,91.64,92.05,91.41,91.84,875500.0
2013-03-15,91.41,94.41,91.41,93.66,2874600.0
2013-03-18,92.41,94.35,91.22,93.64,1853700.0
2013-03-19,93.58,94.06,91.93,92.74,1365800.0
2013-03-20,93.51,94.48,92.79,93.88,1151900.0
2013-03-21,92.99,93.8,91.85,92.34,834600.0
2013-03-22,92.785,93.51,92.42,93.48,721400.0
2013-03-25,93.54,94.09,91.82,92.35,816600.0
2013-03-26,92.8,93.06,91.32,91.37,1115800.0
2013-03-27,91.14,94.04,89.75,93.92,1489100.0
